NAME,Sex,Ticket price,Port Embarked,DATE OF BIRTH,SURVIVED,RICH,HIGHEST PRICE BELONGINGS,WEIGHT,HEIGHT
Garland Cornborough,male,7.225,C,18/08/1868,0,0,jacket/monocle/shoes,94.8,185
Corabelle Hadkins,male,7.575,S,04/03/1880,0,1,jacket/monocle/shoes,66.3,155
Benyamin Di Nisco,female,7.75,Q,22/06/1881,1,0,wallet/shoes/gloves,57,184
Guillermo Rottcher,female,356.333,C,10/07/1833,1,1,wallet/shoes/gloves,55.6,157
Pris Coorington,female,77.333,Q,03/03/1868,0,0,wallet/shoes/gloves,98.1,186
Ekaterina Crutchfield,male,465.208,C,26/02/1837,1,1,jacket/monocle/shoes,78.5,178
Eirena MacAdie,male,10.5,S,20/6/1868,1,0,wallet/shoes/gloves,86.5,166
Erda Brinklow,male,78.542,S,24/02/1882,0,0,wallet/shoes/gloves,91.3,180
Feliza Farlowe,male,31.5,S,15/08/1868,0,1,wallet/shoes/gloves,65.8,172
Rickard Pahlsson,male,7.775,S,02/08/1874,0,0,wallet/shoes/gloves,52.8,187
Jerry Edlington,male,72.292,C,10/04/1841,1,1,wallet/shoes/gloves,74.2,168
Gaylord Canavan,male,13,S,25/05/1878,1,0,jacket/monocle/shoes,81.1,163
Sylvan Droogan,male,26.55,S,22/05/1877,0,0,wallet/shoes/gloves,67.2,191
Mathilda Whyborne,female,113.375,S,07/01/1861,0,1,jacket/monocle/shoes,92,186
Eloisa Branni,male,07.05,S,03/10/1866,0,1,wallet/shoes/gloves,54.9,181
Aluin Lawdham,female,39,S,28/12/1881,1,0,wallet/shoes/gloves,63.7,161
Coleen Rummins,male,79.2,C,03/07/1842,1,1,wallet/shoes/gloves,95.3,159
Cristiano Mundow,male,26,S,18/12/1868,1,1,jacket/monocle/shoes,90.2,154
Kean Hryncewicz,male,13,S,18/5/1836,1,1,wallet/shoes/gloves,87.7,181
Melina Bulled,female,36.75,S,18/07/1866,0,1,wallet/shoes/gloves,75.3,164
Maurizia Trippack,male,29.7,C,16/11/1861,1,0,wallet/shoes/gloves,52.1,165
Guilbert Devall,male,7.225,C,10/10/1854,0,1,wallet/shoes/gloves,87.1,166
Haskel Gaskamp,female,157.417,C,08/05/1843,0,1,wallet/shoes/gloves,74.2,187
Chariot Ivanenko,male,78.958,S,28/05/1843,0,0,jacket/monocle/shoes,81.3,177
Burk Baglan,male,26,S,28/02/1882,1,1,wallet/shoes/gloves,74.8,194
Mandi Lerigo,male,13,S,08/10/1834,0,1,wallet/shoes/gloves,51.1,169
Louise Gerrets,male,72.292,C,25/08/1854,1,1,wallet/shoes/gloves,70.8,174
Archer Woolen,male,31.5,S,10/10/1855,0,0,jacket/monocle/shoes,96.9,167
Waverley Larvin,male,72.292,C,15/01/1875,1,0,wallet/shoes/gloves,61.8,158
Mannie Treend,male,10.5,S,02/07/1868,1,1,wallet/shoes/gloves,67.8,166
Herc Pinwell,male,75.792,S,16/02/1835,1,1,wallet/shoes/gloves,97,182
Carrol Baudone,male,69.55,S,23/12/1883,1,0,wallet/shoes/gloves,73,159
Max Iceton,female,123.292,C,6/11/1864,0,1,jacket/monocle/shoes,77.3,159
Margeaux Cawcutt,male,14.5,S,08/08/1868,0,0,wallet/shoes/gloves,70.9,153
Maggi Ellison,female,7.65,S,07/04/1873,1,1,wallet/shoes/gloves,61.5,190
Elyn Kyrkeman,male,13,S,28/07/1864,1,0,wallet/shoes/gloves,82.5,172
Rodney Moppett,female,72.292,C,23/07/1852,1,0,wallet/shoes/gloves,65.4,196
Norrie Master,male,13.5,S,31/08/1863,0,1,wallet/shoes/gloves,91,159
Xenia Mamwell,female,21,S,28/05/1834,0,1,wallet/shoes/gloves,56.4,163
Paula Callf,female,633.583,C,08/12/1888,0,1,wallet/shoes/gloves,75.7,164
Sheela MacMillan,male,10.5,S,27/01/1888,1,0,wallet/shoes/gloves,83.8,187
Wade Ebbutt,male,73.5,S,16/04/1862,0,0,wallet/shoes/gloves,92.9,151
Anson Finnie,male,65,S,26/08/1845,1,0,wallet/shoes/gloves,92.6,190
Corie Macconachy,female,20.575,S,10/05/1871,0,1,wallet/shoes/gloves,59.6,196
Josephine Doorbar,male,26,S,26/07/1865,0,1,wallet/shoes/gloves,58.9,174
Kelly Chazotte,female,514.792,S,22/02/1884,1,0,wallet/shoes/gloves,85.3,177
Elene Mordin,male,78.792,S,12/07/1874,1,1,wallet/shoes/gloves,83.4,163
Larisa Myles,male,7.75,Q,10/08/1847,1,0,wallet/shoes/gloves,62.9,179
Maximilianus Willets,female,15.55,S,11/02/1850,0,0,wallet/shoes/gloves,59.8,150
Pooh Graysmark,male,69.55,S,18/06/1867,0,1,wallet/shoes/gloves,56.2,163
Ulrich Huggen,female,370.042,C,06/01/1865,1,0,wallet/shoes/gloves,75.2,200
Arlene Szymanowski,female,21,S,31/01/1880,1,1,wallet/shoes/gloves,58.4,173
Forbes Rosson,male,86.625,S,20/10/1873,0,0,wallet/shoes/gloves,68.4,161
Meridith Brazear,female,554.417,C,28/6/1857,1,0,wallet/shoes/gloves,76.7,155
Karrah Bessey,female,69.55,S,28/05/1878,0,0,monocle/suit/shoes,70.7,169
Libbey Bentje,male,144.583,C,07/11/1880,0,0,monocle/suit/shoes,99.8,181
Christalle Swain,female,396.875,S,16/01/1850,1,0,monocle/suit/shoes,94.6,166
Orelia Pinckard,female,59.4,C,14/07/1836,0,0,monocle/suit/shoes,83.8,170
Raynor Sempill,male,138.583,C,21/01/1881,0,0,monocle/suit/shoes,63.1,188
Cris Moyers,male,11.5,S,04/07/1868,0,0,wallet/shoes/gloves,98.5,197
Richart Rechert,female,134.5,C,13/10/1874,0,1,monocle/suit/shoes,58,166
Winnifred McGinty,male,0,S,06/08/1862,0,1,monocle/suit/shoes,83.8,196
Emalia Henzer,male,13,S,02/03/1841,0,1,monocle/suit/shoes,70.4,189
Bevon Brennans,female,818.583,S,17/02/1872,1,0,monocle/suit/shoes,77.3,180
Karena Quest,female,262.375,C,14/05/1868,1,0,monocle/suit/shoes,82.4,178
Kaitlin Caldera,female,86.625,S,26/12/1833,1,0,monocle/suit/shoes,53,192
Genna Raiment,male,11.5,S,27/2/1887,0,1,monocle/suit/shoes,76.8,177
Zabrina Diglin,male,50,S,02/10/1854,1,0,monocle/suit/shoes,82.2,158
Erl Rojel,male,313.875,S,18/08/1860,1,1,wallet/shoes/gloves,63.3,177
Barney Bartzen,male,7.75,Q,08/10/1863,1,0,monocle/suit/shoes,99.3,184
Jenny O'Curneen,male,78.792,Q,13/07/1848,1,1,monocle/suit/shoes,71.7,164
Neile Ciccoloi,female,14.5,S,8/4/1882,0,0,monocle/suit/shoes,79.7,190
Marne Ewenson,female,16.1,S,06/05/1872,0,0,monocle/suit/shoes,88.6,161
Ammamaria Vayro,male,12.875,S,30/07/1870,0,0,monocle/suit/shoes,56.1,169
Suzy Lear,female,65,S,07/06/1855,1,1,monocle/suit/shoes,62.6,197
Yurik Blackden,male,7.775,S,24/05/1864,1,1,monocle/suit/shoes,91.3,197
Nicky Shenton,male,13,S,13/08/1883,1,0,monocle/suit/shoes,85.4,172
Prescott Gravett,male,7.75,Q,25/01/1888,0,0,monocle/suit/shoes,78.8,184
Boyce Sacaze,male,21.075,S,02/04/1840,1,1,monocle/suit/shoes,82.6,173
Deena Long,male,93.5,S,24/11/1870,1,1,monocle/suit/shoes,82.9,175
Adrea Ravenhill,female,39.4,S,04/10/1878,1,1,monocle/suit/shoes,51,155
Duff Allsobrook,male,20.25,S,14/08/1838,0,0,monocle/suit/shoes,57.1,171
Ellwood Duffield,male,10.5,S,08/05/1847,0,0,wallet/shoes/gloves,56.1,194
Corrina True,male,22.025,S,16/07/1862,1,0,monocle/suit/shoes,85.2,173
Tabb Francke,female,60,S,28/06/1853,1,1,monocle/suit/shoes,86.4,183
Grazia Baldini,male,7.25,Q,22/08/1875,1,1,monocle/suit/shoes,71.1,180
Richie McComas,female,79.2,C,03/08/1851,0,0,wallet/shoes/gloves,56.3,151
Vance Trewin,male,7.775,S,26/04/1855,1,1,monocle/suit/shoes,83.8,181
Adrian Bare,male,77.333,Q,20/07/1887,1,1,monocle/suit/shoes,87.2,178
Marilin Ketton,female,648.667,S,20/06/1858,1,1,monocle/suit/shoes,55.9,181
Christalle Kenderdine,male,21,S,01/06/1854,0,0,monocle/suit/shoes,73,198
Anet Heller,female,59.4,C,14/12/1872,1,0,monocle/suit/shoes,94.4,161
Merilee Harpur,male,47.1,S,15/01/1842,0,1,monocle/suit/shoes,86.2,180
Kyle Skelly,male,277.208,C,14/01/1846,0,0,monocle/suit/shoes,100.2,174
Ram Dillamore,male,138.625,C,28/04/1836,1,1,monocle/suit/shoes,81.4,164
Valida Abramovitch,male,10.5,S,03/08/1863,0,1,monocle/suit/shoes,77,167
Cristin Alner,male,211.5,C,20/08/1865,1,1,monocle/suit/shoes,63.5,164
Romy Barnfather,female,77.208,Q,28/06/1872,1,1,monocle/suit/shoes,74.9,181
Storm Ivanusyev,female,13.775,S,10/05/1874,1,1,monocle/suit/shoes,57.8,160
Hewie Robertacci,female,7.75,Q,21/07/1865,1,1,monocle/suit/shoes,71.9,162
Pamella Clayfield,female,90,Q,28/05/1858,0,0,monocle/suit/shoes,79.6,171
Elisabetta Pimbley,female,7.775,S,03/08/1888,1,0,suit/jacket/wallet,84.5,183
Michele Canti,male,08.05,S,31/08/1866,1,1,suit/jacket/wallet,91.5,167
Hewe Whittam,female,108.9,C,13/06/1833,1,1,suit/jacket/wallet,62.3,151
Amandie Lorenzetti,male,7.25,S,23/04/1833,1,0,suit/jacket/wallet,87,170
Mendie Defond,male,08.05,S,06/06/1852,0,0,suit/jacket/wallet,67.9,197
Carrissa Treadway,male,223.583,C,12/05/1888,1,0,monocle/suit/shoes,79.4,194
